Name,Full-Path,Last-Modified,Data-Created,File-Extension
blob_log_writer.h,/root/Desktop/metasquare/blob_log_writer.h,2020/07/11 11:01:52,2020/07/11 11:01:52,.h
Macbeth Chrome 2000 D50.TIF,/root/Desktop/metasquare/Macbeth Chrome 2000 D50.TIF,2020/07/11 11:01:52,2020/07/11 11:01:52,.TIF
blob_db_impl.h,/root/Desktop/metasquare/blob_db_impl.h,2020/07/11 11:01:52,2020/07/11 11:01:52,.h
oldphoto.jpg,/root/Desktop/metasquare/oldphoto.jpg,2020/07/11 11:01:52,2020/07/11 11:01:52,.jpg
tropical.jpg,/root/Desktop/metasquare/tropical.jpg,2020/07/11 11:01:52,2020/07/11 11:01:52,.jpg
PRPLFLWR.JPG,/root/Desktop/metasquare/PRPLFLWR.JPG,2020/07/11 11:01:52,2020/07/11 11:01:52,.JPG
MTRCYCLE.JPG,/root/Desktop/metasquare/MTRCYCLE.JPG,2020/07/11 11:01:52,2020/07/11 11:01:52,.JPG
blob_compaction_filter.cc,/root/Desktop/metasquare/blob_compaction_filter.cc,2020/07/11 11:01:52,2020/07/11 11:01:52,.cc
blob_log_writer.cc,/root/Desktop/metasquare/blob_log_writer.cc,2020/07/11 11:01:52,2020/07/11 11:01:52,.cc
blob_log_format.h,/root/Desktop/metasquare/blob_log_format.h,2020/07/11 11:01:52,2020/07/11 11:01:52,.h
Macbeth sRGB.TIF,/root/Desktop/metasquare/Macbeth sRGB.TIF,2020/07/11 11:01:52,2020/07/11 11:01:52,.TIF
blob_dump_tool.cc,/root/Desktop/metasquare/blob_dump_tool.cc,2020/07/11 11:01:52,2020/07/11 11:01:52,.cc
blob_compaction_filter.h,/root/Desktop/metasquare/blob_compaction_filter.h,2020/07/11 11:01:52,2020/07/11 11:01:52,.h
Bottles.jpg,/root/Desktop/metasquare/Bottles.jpg,2020/07/11 11:01:52,2020/07/11 11:01:52,.jpg
USERS.md,/root/Desktop/metasquare/USERS.md,2020/07/11 11:01:52,2020/07/11 11:01:52,.md
Aberration.tif,/root/Desktop/metasquare/Aberration.tif,2020/07/11 11:01:52,2020/07/11 11:01:52,.tif
blob_db_impl_filesnapshot.cc,/root/Desktop/metasquare/blob_db_impl_filesnapshot.cc,2020/07/11 11:01:52,2020/07/11 11:01:52,.cc
